id,title,category,price,color,inStock,img_one,img_two,img_three,img_four
1010055968,Nike Air Force 1 '07 LX,Men's Shoes,140,White,True,https://static.nike.com/a/images/t_default/52534247-1fb4-49e2-9195-9f4678c22d59/air-force-1-07-lx-mens-shoes-kgJBLz.png,https://static.nike.com/a/images/t_default/29d7cda2-577d-47fb-bae7-d9a97ec1ed9b/air-force-1-07-lx-mens-shoes-kgJBLz.png,https://static.nike.com/a/images/t_default/065974a7-665c-440b-a504-cd35bf7e7d57/air-force-1-07-lx-mens-shoes-kgJBLz.png,https://static.nike.com/a/images/t_default/0dd97bcf-6f36-486a-a7e2-d0173265942d/air-force-1-07-lx-mens-shoes-kgJBLz.png
14096246,Nike Air Force 1 LV8,Big Kids' Shoes,95,Yellow,True,https://static.nike.com/a/images/t_default/92aadfa3-0184-4e34-8109-462798e812bb/air-force-1-lv8-big-kids-shoes-BktXWT.png,https://static.nike.com/a/images/t_default/a533411b-7257-4048-9265-84ea8506406b/air-force-1-lv8-big-kids-shoes-BktXWT.png,https://static.nike.com/a/images/t_default/f739541f-bc5c-4c98-beed-fd33df48c5ef/air-force-1-lv8-big-kids-shoes-BktXWT.png,https://static.nike.com/a/images/t_default/4ad258e2-8cd1-4893-b57c-a2749f190385/air-force-1-lv8-big-kids-shoes-BktXWT.png
1009356266,Nike Air Force 1 High By You,Men's Custom Shoes,145,Multi-Color,True,https://static.nike.com/a/images/t_default/f1ddf9b5-e3c1-44d3-8a44-f0c448adb22c/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/e0512dab-4bcd-42f1-b684-878b2a67a9a8/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/6c6c088d-db2d-4743-8cc6-4ed255c87eb4/custom-nike-air-force-1-high-by-you-shoes.png,https://static.nike.com/a/images/t_default/e9488b92-7dc3-4578-a62a-1442a67f2ce8/custom-nike-air-force-1-high-by-you-shoes.png
1010125411,Nike Air Force 1,Big Kids' Shoes,90,White,True,https://static.nike.com/a/images/t_default/776b4fdb-49ba-48ab-8cd8-255c28441198/air-force-1-big-kids-shoes-xw5kjz.png,https://static.nike.com/a/images/t_default/9be01e87-89dd-4547-bd6d-d3165d9ab641/air-force-1-big-kids-shoes-xw5kjz.png,https://static.nike.com/a/images/t_default/554da492-8d23-45f9-b46b-3760a6948cb0/air-force-1-big-kids-shoes-xw5kjz.png,https://static.nike.com/a/images/t_default/6371c845-4705-46fc-901a-001361a82f9c/air-force-1-big-kids-shoes-xw5kjz.png
14263487,Nike Air Force 1 Low Premium Houston,Men's Shoes,150,Black,True,https://static.nike.com/a/images/t_default/72cb6722-1ff1-455f-b2ee-0617ffe8c87c/air-force-1-low-premium-houston-mens-shoes-GvGJKN.png,https://static.nike.com/a/images/t_default/f3626578-8f44-478b-8773-cc9cc279f208/air-force-1-low-premium-houston-mens-shoes-GvGJKN.png,https://static.nike.com/a/images/t_default/3633251c-2fe9-49fa-a38e-1892e55f2f99/air-force-1-low-premium-houston-mens-shoes-GvGJKN.png,https://static.nike.com/a/images/t_default/01448a71-b62a-4109-8d97-13f0676b7f4d/air-force-1-low-premium-houston-mens-shoes-GvGJKN.png
1009157878,Nike Force 1 LV8,Baby/Toddler Shoes,65,Red,True,https://static.nike.com/a/images/t_default/1233dc0a-257f-4c0c-a0c8-f329334aa4a0/force-1-lv8-baby-toddler-shoes-BVRlLv.png,https://static.nike.com/a/images/t_default/e55472a2-c8af-441d-9a19-d4e1545763ca/force-1-lv8-baby-toddler-shoes-BVRlLv.png,https://static.nike.com/a/images/t_default/916de038-54aa-4341-a85b-0a0039487758/force-1-lv8-baby-toddler-shoes-BVRlLv.png,https://static.nike.com/a/images/t_default/ec4f1790-94f0-485c-85f9-6d34a29a107a/force-1-lv8-baby-toddler-shoes-BVRlLv.png
13976081,Nike Force 1 Toggle,Baby/Toddler Shoes,55,White,True,https://static.nike.com/a/images/t_default/077f0768-d34c-4df1-ab62-4c736d85c425/force-1-toggle-baby-toddler-shoes-hGm7GB.png,https://static.nike.com/a/images/t_default/1e790dd3-7494-4a01-b4fa-cf77b8846937/force-1-toggle-baby-toddler-shoes-hGm7GB.png,https://static.nike.com/a/images/t_default/6c2c49d5-4c8f-4ad8-b8e6-39499f953564/force-1-toggle-baby-toddler-shoes-hGm7GB.png,https://static.nike.com/a/images/t_default/ad4a62b1-4c63-40fa-9408-958e60e7dc57/force-1-toggle-baby-toddler-shoes-hGm7GB.png
14266168,Nike Air Force 1 '07 LV8,Men's Shoes,130,Black,True,https://static.nike.com/a/images/t_default/18734018-620a-4d31-bebf-eeeaa7e3cc76/air-force-1-07-lv8-mens-shoes-M866WJ.png,https://static.nike.com/a/images/t_default/de02b526-843f-4a2e-9178-e0f045a4e52c/air-force-1-07-lv8-mens-shoes-M866WJ.png,https://static.nike.com/a/images/t_default/95578791-8493-446d-9e94-b4ef23b34156/air-force-1-07-lv8-mens-shoes-M866WJ.png,https://static.nike.com/a/images/t_default/f355e6ab-4323-47e1-bb66-c9174a56461e/air-force-1-07-lv8-mens-shoes-M866WJ.png
1010132306,Nike Air Force 1 Mid '07,Men's Shoes,160,White,True,https://static.nike.com/a/images/t_default/023fdd46-0de7-43cf-94af-e7e093cf968f/air-force-1-mid-07-mens-shoes-rJwpc6.png,https://static.nike.com/a/images/t_default/381ec441-89a3-4c08-bd40-56be9081be22/air-force-1-mid-07-mens-shoes-rJwpc6.png,https://static.nike.com/a/images/t_default/88418a2b-698d-41c8-9dbd-0d9816afc0f1/air-force-1-mid-07-mens-shoes-rJwpc6.png,https://static.nike.com/a/images/t_default/ce749a03-ea73-47bc-9205-461e797e2e5a/air-force-1-mid-07-mens-shoes-rJwpc6.png
1007401343,Nike Force 1,Little Kids' Shoes,70,Grey,True,https://static.nike.com/a/images/t_default/02bafcec-7bce-481d-b36c-50091804b4c9/force-1-little-kids-shoes-0fjJmj.png,https://static.nike.com/a/images/t_default/3802b958-fe2c-45d7-b03b-47b9a8ef0988/force-1-little-kids-shoes-0fjJmj.png,https://static.nike.com/a/images/t_default/b1425a07-a9ae-4887-98a7-8fc825755650/force-1-little-kids-shoes-0fjJmj.png,https://static.nike.com/a/images/t_default/044e6da4-5d1c-4cbe-b040-6e32cbbf2608/force-1-little-kids-shoes-0fjJmj.png
